Table_One_Id,EmployeeId,Organization,Plot,Admitting,Team_Members,Category_Of_work,Employee_Preparedness,An_Object,Finish_Work_Date ,Subdivision,Work_Manager,Observer,Open_Single_Line_Diagram,Is_Entrusted,Start_Work,Names_Electrical_Installations,Separate_Instractions,Signature,Be_Disconnected,Outfit_Issued,Surname
25,25,PepsiCo,№25,Harrison,"Barry,Kathleen A.",work away from current-carrying parts,5/17/2016 20:46:31,Low-rise apartment building;,5/18/2016 7:28:01,technical department,JOSEPH DRISCOLL,"Bondwell, Betsy",Yes,JOSEPH DRISCOLL,5/17/2016 20:46:31,,,"Barry,Kathleen A.",,"Bondwell, Betsy",Harrison
26,26,Cisco Systems,№26,Marvin,"Bass,Walker F.",work with complete voltage relief,5/17/2016 20:48:14,Residential building of a blocked development;,5/18/2016 7:41:18,repair and construction team,GREGORY SUHR,"Booth, Frank",No,GREGORY SUHR,5/17/2016 20:48:14,,,"Bass,Walker F.",,"Booth, Frank",Marvin
27,27,Coca-Cola,№27,Scofield,"Bates,Melinda N.",work with complete voltage relief,5/17/2016 20:48:28,Mid-rise apartment building;,5/18/2016 7:41:18,technical department,JOHN HANLEY,"Boutwell, Bonalyn",Yes,JOHN HANLEY,5/17/2016 20:48:28,,,"Bates,Melinda N.",,"Boutwell, Bonalyn",Scofield
28,28,Intel,№28,Steiger,"Bean,Eileen F.",work with partial voltage relief,5/17/2016 20:59:07,Multi-storey apartment building.,5/18/2016 7:46:46,repair and construction team,RAYMOND GUZMAN,"Bozzi, Charles",No,RAYMOND GUZMAN,5/17/2016 20:59:07,,,"Bean,Eileen F.",,"Bozzi, Charles",Steiger
29,29,Comcast,№29,Wayne,"Beaubaire,David S.",work on current-carrying parts,5/17/2016 21:00:47,Low-rise apartment building;,5/18/2016 7:46:57,technical department,DENISE SCHMITT,"Brill, Donna",Yes,DENISE SCHMITT,5/17/2016 21:00:47,,,"Beaubaire,David S.",,"Brill, Donna",Wayne
30,30,Kraft Foods,№30,Hackman,"Bedwell,Wendy Lynette",work away from current-carrying parts,5/17/2016 21:01:09,Residential building of a blocked development;,5/18/2016 7:54:01,repair and construction team,MONICA FIELDS,"Brown, Mia",No,MONICA FIELDS,5/17/2016 21:01:09,,,"Bedwell,Wendy Lynette",,"Brown, Mia",Hackman
31,31,UnitedHealth Group,№31,Brando,"Belsky,David",work with complete voltage relief,5/17/2016 21:08:26,Mid-rise apartment building;,5/18/2016 7:55:10,technical department,HARLAN KELLY-JR,"Buccheri, Joseph  ",Yes,HARLAN KELLY-JR,5/17/2016 21:08:26,,,"Belsky,David",,"Buccheri, Joseph  ",Brando
32,32,Oracle,№32,Lemmon,"Bennett,Jacquelyn J.",work with partial voltage relief,5/17/2016 21:15:34,Multi-storey apartment building.,5/18/2016 8:08:44,repair and construction team,DAVID SHINN,"Bugali, Josephine ",No,DAVID SHINN,5/17/2016 21:15:34,,,"Bennett,Jacquelyn J.",,"Bugali, Josephine ",Lemmon
33,33,Walt Disney,№33,Nicholson,"Berger,Samuel R.",work on current-carrying parts,5/17/2016 21:16:35,Low-rise apartment building;,5/18/2016 8:10:41,technical department,GARY AMELIO,"Bunbury, Jessica",Yes,GARY AMELIO,5/17/2016 21:16:35,,,"Berger,Samuel R.",,"Bunbury, Jessica",Nicholson
34,34,United Technologies,№34,Finch ,"Berry,Marsha E.",work away from current-carrying parts,5/17/2016 21:25:17,Residential building of a blocked development;,5/18/2016 8:14:39,repair and construction team,JOHN TURSI,"Burke, Joelle",No,JOHN TURSI,5/17/2016 21:25:17,,,"Berry,Marsha E.",,"Burke, Joelle",Finch 
35,35,American Express,№35,Dreyfuss,"Beveridge,Susan",work with complete voltage relief,5/17/2016 21:34:10,Mid-rise apartment building;,5/18/2016 8:14:52,technical department,JOSE VELO,"Burkett, Benjamin ",Yes,JOSE VELO,5/17/2016 21:34:10,,,"Beveridge,Susan",,"Burkett, Benjamin ",Dreyfuss
36,36,Prudential Financial,№36,Hoffman,"Bianchi,Sarah Abigail",work with partial voltage relief,5/17/2016 21:38:39,Multi-storey apartment building.,5/18/2016 8:17:01,repair and construction team,KHOA TRINH,"Cady, Max ",No,KHOA TRINH,5/17/2016 21:38:39,,,"Bianchi,Sarah Abigail",,"Cady, Max ",Hoffman
37,37,Boeing,№37,Henry ,"Binns,Mary U.",work on current-carrying parts,5/17/2016 21:39:26,Low-rise apartment building;,5/18/2016 8:18:08,technical department,SUSAN CURRIN,"Candie, Calvin",Yes,SUSAN CURRIN,5/17/2016 21:39:26,,,"Binns,Mary U.",,"Candie, Calvin",Henry 
38,38,CVS Caremark,№38,Duvall,"Bird,Debra D.",work away from current-carrying parts,5/17/2016 21:45:04,Residential building of a blocked development;,5/18/2016 8:22:09,repair and construction team,JAMES BOSCH,"Carabbio, Judith",No,JAMES BOSCH,5/17/2016 21:45:04,,,"Bird,Debra D.",,"Carabbio, Judith",Duvall
39,39,Google,№39,Burstyn,"Blinken,Antony J.",work with complete voltage relief,5/17/2016 21:45:35,Mid-rise apartment building;,5/18/2016 8:24:22,technical department,JONES WONG,"Carey, Michael  ",Yes,JONES WONG,5/17/2016 21:45:35,,,"Blinken,Antony J.",,"Carey, Michael  ",Burstyn
40,40,Abbott Labaratories,№40,Dunaway,"Blocker,Ananias,III",work with complete voltage relief,5/17/2016 21:55:53,Multi-storey apartment building.,5/18/2016 8:27:23,repair and construction team,BRENDAN WARD,"Carr, Claudia  N",No,BRENDAN WARD,5/17/2016 21:55:53,,,"Blocker,Ananias,III",,"Carr, Claudia  N",Dunaway
41,41,U.S Bancorp,№41,Keaton,"Blunt,Shenna C.",work with partial voltage relief,5/17/2016 21:57:20,Low-rise apartment building;,5/18/2016 8:34:48,technical department,MICHAEL THOMPSON,"Carter, Michelle ",Yes,MICHAEL THOMPSON,5/17/2016 21:57:20,,,"Blunt,Shenna C.",,"Carter, Michelle ",Keaton
42,42,Caterpillar,№42,Fonda,"Bohrer,George H.",work on current-carrying parts,5/17/2016 22:01:48,Residential building of a blocked development;,5/18/2016 8:41:25,repair and construction team,THOMAS ABBOTT,"Chace, Beatrice ",No,THOMAS ABBOTT,5/17/2016 22:01:48,,,"Bohrer,George H.",,"Chace, Beatrice ",Fonda
43,43,Dow Chemical,№43,Field,"Bowles,Erskine B.",work away from current-carrying parts,5/17/2016 22:12:58,Mid-rise apartment building;,5/18/2016 8:42:53,technical department,THOMAS SIRAGUSA,"Champaigne, Brian",Yes,THOMAS SIRAGUSA,5/17/2016 22:12:58,,,"Bowles,Erskine B.",,"Champaigne, Brian",Field
44,44,The Home Depot,№44,Spacek,"Breuer,Lanny A.",work with complete voltage relief,5/17/2016 22:14:11,Multi-storey apartment building.,5/18/2016 8:46:21,repair and construction team,MICHAEL THOMPSON,"Chan, Lin",No,MICHAEL THOMPSON,5/17/2016 22:14:11,,,"Breuer,Lanny A.",,"Chan, Lin",Spacek
45,45,News Corporation,№45,Lange,"Briggs,Patrick Edward Jude",work with partial voltage relief,5/17/2016 22:15:22,Low-rise apartment building;,5/18/2016 8:49:24,technical department,SHARON MCCOLE WICHER,"Chang, Donovan  E",Yes,SHARON MCCOLE WICHER,5/17/2016 22:15:22,,,"Briggs,Patrick Edward Jude",,"Chang, Donovan  E",Lange
46,46,Marathon Oil,№46,Paltrow,"Bromberg,Emily",work on current-carrying parts,5/17/2016 22:19:27,Residential building of a blocked development;,5/18/2016 8:50:29,repair and construction team,EDWIN LEE,"Chigurh, Anton",No,EDWIN LEE,5/17/2016 22:19:27,,,"Bromberg,Emily",,"Chigurh, Anton",Paltrow
47,47,PNC Financial Sevices,№47,Berry,"Brophy,Susan A.",work away from current-carrying parts,5/17/2016 22:20:28,Mid-rise apartment building;,5/18/2016 8:52:16,technical department,BRYAN RUBENSTEIN,"Chivukula, Enola",Yes,BRYAN RUBENSTEIN,5/17/2016 22:20:28,,,"Brophy,Susan A.",,"Chivukula, Enola",Berry
48,48,Philip Morris International,№48,Kidman,"Brown,Margueritte B.",work with complete voltage relief,5/17/2016 22:23:12,Multi-storey apartment building.,5/18/2016 8:56:57,repair and construction team,TRENT RHORER,"Cierpiszewski, Caroline  ",No,TRENT RHORER,5/17/2016 22:23:12,,,"Brown,Margueritte B.",,"Cierpiszewski, Caroline  ",Kidman
49,49,United Parcel Service,№49,Theron,"Burkhardt,Daniel W.",work with partial voltage relief,5/17/2016 22:25:40,Low-rise apartment building;,5/18/2016 8:57:05,technical department,JAMES DUDLEY,"Clayton, Rick",Yes,JAMES DUDLEY,5/17/2016 22:25:40,,,"Burkhardt,Daniel W.",,"Clayton, Rick",Theron
50,50,Target,№50,Wick,"Button,Katharine M.",work on current-carrying parts,5/17/2016 22:29:37,Residential building of a blocked development;,5/18/2016 9:08:40,repair and construction team,KEN YEE,"Cloninger, Jennifer",No,KEN YEE,5/17/2016 22:29:37,,,"Button,Katharine M.",,"Cloninger, Jennifer",Wick
51,51,JPMorgan Chase,№51,Constantine,"Byrd,Kimberley J.",work away from current-carrying parts,5/17/2016 22:33:23,Mid-rise apartment building;,5/18/2016 9:19:05,technical department,KIRK RICHARDSON,"Close, Phil",Yes,KIRK RICHARDSON,5/17/2016 22:33:23,,,"Byrd,Kimberley J.",,"Close, Phil",Constantine
52,52,General Electric,№52,Anderson,"Cameron,Rebecca A.",work with complete voltage relief,5/17/2016 22:33:51,Multi-storey apartment building.,5/18/2016 9:27:05,repair and construction team,BARBARA GARCIA,"Clukey, Elijian",No,BARBARA GARCIA,5/17/2016 22:33:51,,,"Cameron,Rebecca A.",,"Clukey, Elijian",Anderson
53,53,ExxonMobil,№53,Telles,"Campbell,Frances L.",work with complete voltage relief,5/17/2016 22:38:33,Low-rise apartment building;,5/18/2016 9:27:15,technical department,MICHAEL ROLOVICH,"Cockel, James",Yes,MICHAEL ROLOVICH,5/17/2016 22:38:33,,,"Campbell,Frances L.",,"Cockel, James",Telles
54,54,Berkshire Hathaway,№54,Maradona,"Canter,Virginia R.",work with partial voltage relief,5/17/2016 22:42:00,Residential building of a blocked development;,5/18/2016 9:29:39,repair and construction team,DARRYL HUNTER,"Cole, Spencer",No,DARRYL HUNTER,5/17/2016 22:42:00,,,"Canter,Virginia R.",,"Cole, Spencer",Maradona
55,55,Citigroup,№55,Ronaldo,"Caplan,Phillip",work on current-carrying parts,5/17/2016 22:43:42,Mid-rise apartment building;,5/18/2016 9:31:41,technical department,RAY CRAWFORD,"Corleone, Michael",Yes,RAY CRAWFORD,5/17/2016 22:43:42,,,"Caplan,Phillip",,"Corleone, Michael",Ronaldo
56,56,Wells Fargo,№56,Tal,"Capps,Laura Karolina",work away from current-carrying parts,5/17/2016 22:44:08,Multi-storey apartment building.,5/18/2016 9:37:14,repair and construction team,KEVIN CASHMAN,"Corleone, Vito",No,KEVIN CASHMAN,5/17/2016 22:44:08,,,"Capps,Laura Karolina",,"Corleone, Vito",Tal
57,57,AT&T,№57,Bates,"Caramanica,Janice",work with complete voltage relief,5/17/2016 22:46:53,Low-rise apartment building;,5/18/2016 9:39:15,technical department,BENJAMIN ROSENFIELD,"Cornett, Lisa ",Yes,BENJAMIN ROSENFIELD,5/17/2016 22:46:53,,,"Caramanica,Janice",,"Cornett, Lisa ",Bates
58,58,Chevron,№58,Kidman,"Carey,Paul R.",work with partial voltage relief,5/17/2016 22:49:46,Residential building of a blocked development;,5/18/2016 9:42:24,repair and construction team,MARK KEARNEY,"Costello, Frank",No,MARK KEARNEY,5/17/2016 22:49:46,,,"Carey,Paul R.",,"Costello, Frank",Kidman
59,59,Walmart,№59,Milland,"Carter,Cheryl M. Cole",work on current-carrying parts,5/17/2016 22:51:33,Mid-rise apartment building;,5/18/2016 9:53:09,technical department,DOUGLAS RIBA,"Crimmings,   Jean",Yes,DOUGLAS RIBA,5/17/2016 22:51:33,,,"Carter,Cheryl M. Cole",,"Crimmings,   Jean",Milland
60,60,ConocoPhillips,№60,March,"Castleman,Helen S.",work away from current-carrying parts,5/17/2016 22:52:38,Multi-storey apartment building.,5/18/2016 9:54:14,repair and construction team,AI-KYUNG CHUNG,"Cross, Noah",No,AI-KYUNG CHUNG,5/17/2016 22:52:38,,,"Castleman,Helen S.",,"Cross, Noah",March
61,61,American International Group,№61,Brynner,"Cattalini,Ann Marie",work with complete voltage relief,5/17/2016 22:55:50,Low-rise apartment building;,5/18/2016 9:54:39,technical department,KENNETH SMITH,"Daneault, Lynn",Yes,KENNETH SMITH,5/17/2016 22:55:50,,,"Cattalini,Ann Marie",,"Daneault, Lynn",Brynner
62,62,IBM,№62,Crawford,"Chai,David K.",work with partial voltage relief,5/17/2016 22:56:02,Residential building of a blocked development;,5/18/2016 9:55:57,repair and construction team,ANNA BROWN,"Daniele, Ann  ",No,ANNA BROWN,5/17/2016 22:56:02,,,"Chai,David K.",,"Daniele, Ann  ",Crawford
63,63,Procter&Gamble,№63,Wyman,"Chirwa,Dawn M.",work on current-carrying parts,5/17/2016 23:00:07,Mid-rise apartment building;,5/18/2016 9:56:07,technical department,JAMES FAZACKERLEY,"Darson, Jene'ya ",Yes,JAMES FAZACKERLEY,5/17/2016 23:00:07,,,"Chirwa,Dawn M.",,"Darson, Jene'ya ",Wyman
64,64,Pfizer,№64,Magnani,"Chow,Barbara",work away from current-carrying parts,5/17/2016 23:08:07,Multi-storey apartment building.,5/18/2016 9:56:10,repair and construction team,CHARLES CRANE,"Davis, Daniel",No,CHARLES CRANE,5/17/2016 23:08:07,,,"Chow,Barbara",,"Davis, Daniel",Magnani
65,65,Goldman Sachs,№65,Hepburn,"Cicetti,Pamela",work with complete voltage relief,5/17/2016 23:09:12,Low-rise apartment building;,5/18/2016 10:00:58,technical department,GREGORY MAR,"Dee, Randy",Yes,GREGORY MAR,5/17/2016 23:09:12,,,"Cicetti,Pamela",,"Dee, Randy",Hepburn
66,66,Hewlett-Packard,№66,Hepburn,"Clarke,Senoria K.",work with complete voltage relief,5/17/2016 23:09:32,Residential building of a blocked development;,5/18/2016 10:05:09,repair and construction team,RICHARD PARRY,"DeGweck,  James",No,RICHARD PARRY,5/17/2016 23:09:32,,,"Clarke,Senoria K.",,"DeGweck,  James",Hepburn
67,67,Apple,№67,Streisand,"Cleveland,Carolyn E.",work with partial voltage relief,5/17/2016 23:12:04,Mid-rise apartment building;,5/18/2016 10:07:24,technical department,ROBERT POSTEL,"Del Bosque, Keyla",Yes,ROBERT POSTEL,5/17/2016 23:12:04,,,"Cleveland,Carolyn E.",,"Del Bosque, Keyla",Streisand
68,68,Microsoft,№68,Smith,"Cogdell,C. Patricia",work on current-carrying parts,5/17/2016 23:13:32,Multi-storey apartment building.,5/18/2016 10:09:50,repair and construction team,EDWARD ROLAND,"Delarge, Alex",No,EDWARD ROLAND,5/17/2016 23:13:32,,,"Cogdell,C. Patricia",,"Delarge, Alex",Smith
69,69,Ford,№69,Jackson,"Cohen,Steven A.",work away from current-carrying parts,5/17/2016 23:13:58,Low-rise apartment building;,5/18/2016 10:18:15,technical department,THOMAS SHAWYER,"Demita, Carla",Yes,THOMAS SHAWYER,5/17/2016 23:13:58,,,"Cohen,Steven A.",,"Demita, Carla",Jackson
70,70,Johnson&Johnson,№70,Fonda,"Conroy,Mary R.",work with complete voltage relief,5/17/2016 23:15:14,Residential building of a blocked development;,5/18/2016 10:18:29,repair and construction team,WING CHAN,"Desimone, Carl ",No,WING CHAN,5/17/2016 23:15:14,,,"Conroy,Mary R.",,"Desimone, Carl ",Fonda
71,71,General Motors,№71,Schell,"Corbett,Julianne B.",work with partial voltage relief,5/17/2016 23:16:50,Mid-rise apartment building;,5/18/2016 10:19:13,technical department,GEORGE GASCON,"DeVito, Tommy",Yes,GEORGE GASCON,5/17/2016 23:16:50,,,"Corbett,Julianne B.",,"DeVito, Tommy",Schell
72,72,Verizon Communications,№72,Peck,"Cornelius,Catherine A.",work on current-carrying parts,5/17/2016 23:16:59,Multi-storey apartment building.,5/18/2016 10:22:29,repair and construction team,RICHARD BUSALACCHI,"Dickinson, Geoff ",No,RICHARD BUSALACCHI,5/17/2016 23:16:59,,,"Cornelius,Catherine A.",,"Dickinson, Geoff ",Peck
73,73,Morgan Stanley,№73,Poitier,"Costello,Brenda B.",work away from current-carrying parts,5/17/2016 23:19:44,Low-rise apartment building;,5/18/2016 10:28:46,technical department,LAWRENCE FREED,"Dietrich, Jenna  ",Yes,LAWRENCE FREED,5/17/2016 23:19:44,,,"Costello,Brenda B.",,"Dietrich, Jenna  ",Poitier
74,74,MetLife,№74,Harrison,"Cozart,Charlene C.",work with complete voltage relief,5/17/2016 23:22:00,Residential building of a blocked development;,5/18/2016 10:34:31,repair and construction team,MONIQUE MOYER,"DiNocco, Lily ",No,MONIQUE MOYER,5/17/2016 23:22:00,,,"Cozart,Charlene C.",,"DiNocco, Lily ",Harrison
75,75,PepsiCo,№75,Marvin,"Crable,Lynn Allison",work with partial voltage relief,5/17/2016 23:22:46,Mid-rise apartment building;,5/18/2016 10:47:54,technical department,ANTONIO FLORES,"Dobrin, Denisa  S",Yes,ANTONIO FLORES,5/17/2016 23:22:46,,,"Crable,Lynn Allison",,"Dobrin, Denisa  S",Marvin
76,76,Cisco Systems,№76,Scofield,"Craighead,Kelly",work on current-carrying parts,5/17/2016 23:24:12,Multi-storey apartment building.,5/18/2016 10:48:04,repair and construction team,MARK GAMBLE,"Dolan, Linda",No,MARK GAMBLE,5/17/2016 23:24:12,,,"Craighead,Kelly",,"Dolan, Linda",Scofield
77,77,Coca-Cola,№77,Steiger,"Crisci,Michelle",work away from current-carrying parts,5/17/2016 23:28:48,Low-rise apartment building;,5/18/2016 10:56:14,technical department,KEVIN BURKE,"Dougall, Eric",Yes,KEVIN BURKE,5/17/2016 23:28:48,,,"Crisci,Michelle",,"Dougall, Eric",Steiger
78,78,Intel,№78,Wayne,"Croft,Caroline",work with complete voltage relief,5/17/2016 23:29:37,Residential building of a blocked development;,5/18/2016 11:01:31,repair and construction team,BERT REYES,"Driver, Elle",No,BERT REYES,5/17/2016 23:29:37,,,"Croft,Caroline",,"Driver, Elle",Wayne
79,79,Comcast,№79,Hackman,"Cunningham,Nelson W.",work with complete voltage relief,5/17/2016 23:29:47,Mid-rise apartment building;,5/18/2016 11:07:19,technical department,MICHAEL DELANE,"Dunn, Amy  ",Yes,MICHAEL DELANE,5/17/2016 23:29:47,,,"Cunningham,Nelson W.",,"Dunn, Amy  ",Hackman
80,80,Kraft Foods,№80,Brando,"Curiel,Carolyn",work with partial voltage relief,5/17/2016 23:33:57,Multi-storey apartment building.,5/18/2016 11:17:49,repair and construction team,EDUARDO GONZALEZ,"Dunne, Amy",No,EDUARDO GONZALEZ,5/17/2016 23:33:57,,,"Curiel,Carolyn",,"Dunne, Amy",Brando
81,81,UnitedHealth Group,№81,Lemmon,"Currie,Betty W.",work on current-carrying parts,5/17/2016 23:34:25,Low-rise apartment building;,5/18/2016 11:20:05,technical department,YIFANG QIAN,"Eaton, Marianne",Yes,YIFANG QIAN,5/17/2016 23:34:25,,,"Currie,Betty W.",,"Eaton, Marianne",Lemmon
82,82,Oracle,№82,Nicholson,"Curtis,Janet F.",work away from current-carrying parts,5/17/2016 23:34:44,Residential building of a blocked development;,5/18/2016 11:23:33,repair and construction team,ROBERT WINSLOW,"Engdahl, Jean",No,ROBERT WINSLOW,5/17/2016 23:34:44,,,"Curtis,Janet F.",,"Engdahl, Jean",Nicholson
