Table_four_id,place_work,number,hazards_risks_id,date,company,job_task,members_group,stages_of work,Possible_potential_accidents,control_measures,are_there_control_measures
111,DEPT CH 0075,116918,111,11/11/2013,MSC INDUSTRIAL SUPPLY CO,,"Gold, Shenice  ",,,,yes
112,39 W 866 FABYAN PKWY,64933,112,7/11/2011,ILLINOIS CONSTRUCTORS CORP,,"Gonzalez, Cayo",,,,no
113,PO BOX 99865,T27781,113,4/26/2010,UNISYS CORPORATION,,"Gonzalez, Juan",,,,yes
114,250 E TOUHY AVE,66802,114,1/5/2015,LORIG CONSTRUCTION COMPANY.OVERSIZE),,"Gonzalez, Maria",,,,no
115,SUITE 1000,100964,115,5/12/2014,METROPOLITAN FAMILY SERVICE,,"Good, Susan",,,,yes
116,844 E ROCKLAND RD,84022,116,7/2/2012,ALDRIDGE ELECTRIC INC,,"Gordon, David",,,,no
117,222 S RIVERSIDE PLZ,108407,117,9/30/2013,Together Chicago Inc,,"Gosciminski, Phylicia  ",,,,yes
118,222 S RIVERSIDE PLZ,108766,118,8/19/2013,Together Chicago Inc,,"Goyal, Roxana",,,,yes
119,PO BOX 75651,68571,119,6/2/2015,"PERKINS & WILL, INC.",,"Gray, Elijiah  ",,,,no
120,42 W MADISON ST,116917,120,2/21/2011,BOARD OF EDUCATION OF THE CITY OF CHICAGO,,"Gross, Paula",,,,yes
121,42 W MADISON ST,116910,121,4/20/2017,BOARD OF EDUCATION OF THE CITY OF CHICAGO,,"Gruber, Hans",,,,no
122,69 W. WASHINGTON ST. RM 2400,116921,122,3/7/2012,COOK COUNTY TREASURER,,"Guilianno, Mike",,,,yes
123,11 E ADAMS STREET EFT,116698,123,11/28/2011,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",,"Handschiegl, Joanne",,,,no
124,HLTH/ SCHOOL OF PUBLIC HLTH,116208,124,11/11/2013,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,,"Hankard, Earnest",,,,yes
125,2415 N MILWAUKEE AVE FL 1-3,101603,125,1/9/2012,"ASPIRA, INC. OF ILLINOIS",,"Harrington, Christie ",,,,no
126,C/O IRG REALTY ADVISORS LLC,30547,126,5/12/2014,CHICAGO 103RD STREET LLC,,"Harrison, Kara",,,,yes
127,SUITE 1000,96870,127,8/13/2012,METROPOLITAN FAMILY SERVICE,,"Heitzman, Anthony",,,,yes
128,120 N SANGAMON EFT,116760,128,1/10/2011,MCDERMOTT CENTER|CLEANED-UP,,"Hendrickson, Trina",,,,no
129,5101 N KIMBALL AVE,96871,129,8/18/2014,"ALBANY PARK COMMUNITY CENTER, INC",,"Hitchcock, Alfred",,,,yes
130,815 W VAN BUREN ST FL 2ND,101888,130,8/15/2011,CENTER FOR COMPANIES THAT CARE,,"Homberger, Adrienne  J",,,,no
131,4753 N BROADWAY EFT,116793,131,3/30/2015,ILLINOIS ACTION FOR CHILDREN,,"Horton, Jayne",,,,yes
132,3948 W 26TH ST,101377,132,5/5/2014,"CENTRAL STATES SER, JOBS FOR PROGRESS, INC.",,"Houlihan, Debra",,,,no
133,10150 VIRGINIA AVE UNIT J,21757,133,2/16/2015,4150 PARTNERSHIP,,"Howard, Estelle",,,,yes
134,125 S WACKER DR FL 14TH  EFT,102205,134,2/20/2012,CHILDREN'S HOME & AID SOCIETY OF ILLINOIS,,"Hudson, Jane",,,,no
135,1339 S WOOD ST,116686,135,6/6/2016,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,,"Hunts, Julissa",,,,yes
136,3948 W 26TH ST,101601,136,6/5/2015,"CENTRAL STATES SER, JOBS FOR PROGRESS, INC.",,"Hutter, Rosalie",,,,yes
137,DEPT CH 0075,115882,137,2/21/2011,MSC INDUSTRIAL SUPPLY CO,,"Huynh, Ming",,,,no
138,6200 CAPITOL DR,116699,138,2/21/2011,NATIONAL LOUIS UNIVERSITY,,"Immediato, Walter",,,,yes
139,1807 W SUNNYSIDE AVE STE 1D,101887,139,8/19/2013,ALTERNATIVE SCHOOLS NETWORK,,"Ivey, Rose ",,,,no
140,FOR BOYS,101891,140,11/5/2012,LAWRENCE HALL SCHOOL FOR BOYS,,"Jackson, Maryellen",,,,yes
141,ARCHER AVENUE LLC,21730,141,9/30/2013,ARCHER AVENUE LLC,,"Jacobi, Hannah  ",,,,no
142,651 W WASHINGTON BLVD,116810,142,7/5/2011,ALL CHICAGO MAKING HOMELESSNESS HISTORY,,"Jeannite, Tayana",,,,yes
143,30 N LA SALLE ST STE 1420,30418,143,1/6/2014,30 NORTH. LASALLE PARTNERS LLC,,"Jhaveri, Sneha  ",,,,no
144,2355 S WESTERN AVE # 1,116663,144,11/7/2011,"ALIVIO MEDICAL CENTER,INC",,"Johnson, George",,,,yes
145,5674 S ARCHER AVE # B,116662,145,1/5/2015,SOUTHWEST SIDE SENIORS SERVICES ORGANIZATION,,"Johnson, Noelle ",,,,yes
146,1 E BANKS ST,101602,146,7/7/2014,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,,"Johnston, Yen",,,,no
147,WESTERN KENTUCKY UNIV.,116664,147,1/10/2011,"WESTERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",,"Jung, Judy  ",,,,yes
148,451 N LASALLE STREET EFT,116665,148,11/7/2011,ERIKSON INSTITUTE,,"Kampew, Donysha",,,,no
149,5233 W DIVERSEY AVENUE EFT,116661,149,9/30/2013,NORTHWEST SIDE HOUSING CENTER,,"Keatts, Kramer ",,,,yes
150,239 KING ST,30511,150,8/19/2013,"CENTRAL LAWN SPRINKLERS, INC.",,"Khemmich, Bartholemew",,,,no
151,600 W CERMAK RD # 300,116456,151,7/2/2012,"UNITY PARENTING & COUNSELING, INC.",,"King, Janet",,,,yes
152,18100 S INDIANA AVE,42312,152,9/26/2011,GALLAGHER ASPHALT CORP,,"Kinsella, Kathleen  ",,,,no
153,PO BOX 439,31761,153,9/26/2011,"EJ USA, INC.",,"Kirill, Alexandra  ",,,,yes
154,3741 S PULASKI EFT,31837,154,2/17/2014,OGDEN CONST & RELIABLE ASPHALT,,"Knapp, Bradley  J",,,,yes
155,602 CAMDEN LN,73956,155,1/10/2011,QUANTUM ENGINEERING CORPORATION,,"Kretschmer, John",,,,no
156,8 S MICHIGAN AVE STE 400,113350,156,3/7/2011,WOMEN'S BUSINESS DEVELOPMENT CENTER,,"Kreuger, Freddy",,,,yes
157,6054 S DREXEL AVE,116455,157,11/10/2014,UNIVERSITY OF CHICAGO 03,,"Lajiri,  Jyoti",,,,no
158,444 N MICHIGAN AVENUE EFT,31895,158,1/10/2011,"T & N CHICAGO, INC.",,"Landa, Hans",,,,yes
159,1050 STREET CHARLES ST,24512,159,1/7/2013,"WELCH BROTHERS, INC",,"Langford, Lindsey",,,,no
160,130 E SENECA ST,51529,160,7/9/2012,"HAGERTY CONSULTING, INC.",,"Langton, Enrico",,,,yes
161,180 N LA SALLE ST STE 2305,51556,161,1/6/2014,"HEALTH MANAGEMENT ASSOCIATES,INCOFIL",,"LaRotonda, William  ",,,,no
162,5515 N EAST RIVER ROAD EFT XX  2356,31553,162,4/2/2012,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Latif, Mohammed",,,,yes
163,5515 N EAST RIVER ROAD EFT XX  2356,90271,163,10/2/2016,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Le, Binh",,,,yes
164,19001 OLD LAGRANGE RD,82791,164,9/26/2011,"OZINGA ENERGY, LLC",,"Leach, Dallas",,,,no
165,33 W MONROE ST,93627,165,1/5/2016,SDI PRESENCE LLC,,"LeBlanc, Brandon  R",,,,yes
166,PO BOX 660108,20293,166,5/14/2012,VERIZON WIRELESS,,"Lecter, Hannibal",,,,no
167,2600 AMERICAN DR,105835,167,4/30/2012,PIERCE MANUFACTURING INC,,"Leruth, Giovanni",,,,yes
168,2044 W 163RD ST,31838,168,9/30/2013,UTILITY TRANSPORT,,"Liebig, Ketsia",,,,no
169,825 W WELLINGTON EFT,116454,169,7/5/2011,"ALEXIAN BROTHERS BONAVENTURE HOUSE, INC.",,"Linares, Marilyn ",,,,yes
170,100 W RANDOLPH ST # 6-600,51559,170,7/8/2013,ILLINOIS PUBLIC HEALTH INSTITUTE,,"Linden, Mathew",,,,no
171,3930 HOWARD HUGHES PKWY,116422,171,1/21/2011,UNION GAMING ANALYTICS LLC,,"Lindsay, Leonara ",,,,yes
172,8 S MICHIGAN AVE STE 400,113350,172,7/8/2013,WOMEN'S BUSINESS DEVELOPMENT CENTER,,"Lundy, Susan",,,,yes
173,2141 S TAN CT FL 2ND,85779,173,8/19/2013,"CHINESE AMERICAN SERVICE LEAGUE, INC.",,"Lunquist, Lisa",,,,no
174,2100 W WARREN BOULEVARD EFT,85984,174,2/16/2015,ST. LEONARD'S MINISTRIES|CLEANED-UP,,"Lydon, Allison",,,,yes
175,SUITE 1000,116391,175,11/7/2011,METROPOLITAN FAMILY SERVICE,,"Lynch, Lindsay",,,,no
176,120 N SANGAMON EFT,85924,176,9/24/2012,MCDERMOTT CENTER|CLEANED-UP,,"MacLennan, Samuel",,,,yes
177,571 W JACKSON BLVD,85981,177,1/6/2014,SAFER FOUNDATION 01,,"Mahoney, Lauren  ",,,,no
178,11 E ADAMS STREET EFT,101898,178,5/11/2016,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",,"Manchester, Robyn",,,,yes
179,5515 N EAST RIVER ROAD EFT XX  2356,63738,179,7/5/2011,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Mancuso, Karen",,,,no
180,1100 BRANDT DR,66065,180,11/11/2013,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",,"Mangal, Debbie",,,,yes
181,1823 W 47TH ST FL 2ND,102611,181,11/11/2013,BACK OF THE YARDS NEIGHBORHOOD COUNCIL,,"Martin, Sandra",,,,yes
182,999 W 37TH STREET EFT ST,116306,182,5/31/2011,JOHNSON PIPE & SUPPLY COMPANY INC,,"Maurice, Shana",,,,no
183,520 NICOLLET MALL,78164,183,3/30/2015,CUSTOM INTERCEPT SOLUTIONS,,"Carthy, B'rigit",,,,yes
184,100 S WACKER DRIVE EFT,29126,184,1/7/2013,URS CORPORATION,,"Mckenna, Sandy",,,,no
185,100 N CENTRAL PARK DR,102606,185,7/6/2016,CHICAGO WEST COMMUNITY MUSIC CENTER,,"McKinzie, Jac",,,,yes
186,ST. PIUS V PARISH/HOPE,102609,186,4/2/2012,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,,"Meads, Elizabeth",,,,no
187,1301 S SAWYER AVE,116272,187,3/30/2015,OPEN DOOR CLINIC OF GREATER ELGIN,,"Medeiros, Jennifer",,,,yes
188,HLTH/ SCHOOL OF PUBLIC HLTH,116208,188,8/16/2012,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,,"Miller, Brannon",,,,no
189,237 S DESPLAINES STREET EFT,115938,189,8/15/2011,THE CARA PROGRAM,,"Miller, Ned",,,,yes
190,929 W ADAMS STREET EFT,75162,190,11/7/2011,"WALSH CONSTRUCTION COMPANY II, LLC.",,"Monkfish, Erasumus",,,,yes
191,200 W JACKSON BLVD # 2200,116204,191,2/15/2012,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,,"Monroe, Peter",,,,no
192,PROSPAM FOR LEGAL SERVICE,68722,192,5/13/2013,COORDINATED ADVICE&REFERRAL & REFERRAL PROGRAM FOR LEGAL SERVICES,,"Monterro, Luisa",,,,yes
193,3930 HOWARD HUGHES PKWY,116203,193,1/9/2012,UNION GAMING ANALYTICS LLC,,"Moran, Patrick",,,,no
194,1000 LAKE COOK ROAD EFT,115939,194,2/16/2015,CHICAGO HORTICULTURAL SOCIETY,,"Morway, Tanya",,,,yes
195,3456 W FRANKLIN BOULEVARD EFT,116178,195,4/1/2013,BOULEVARD OF CHICAGO INC,,"Motlagh,  Dawn",,,,no
196,999 W 37TH STREET EFT ST,115944,196,5/13/2013,JOHNSON PIPE & SUPPLY COMPANY INC,,"Moumanil, Maliki ",,,,yes
197,2152 W CORTEZ ST # 1,115994,197,7/8/2013,DIANA GUERRERO-MACIA,,"Myers, Michael",,,,no
